processed_name,proper_name,suggested_unit,suggested_unit_url,url
pyrite  concentration,pyrite  concentration,,,http://registry.it.csiro.au/def/environment/property/pyrite_concentration
radon 220 concentration,radon-220 concentration,Becquerel Per Litre | Milli Becquerel Per Litre,http://registry.it.csiro.au/def/environment/unit/BecquerelPerLitre | http://registry.it.csiro.au/def/environment/unit/MilliBecquerelPerLitre,http://registry.it.csiro.au/def/environment/property/radon220_concentration
radon 222 concentration,radon-222 concentration,Milli Becquerel Per Litre | Becquerel Per Litre,http://registry.it.csiro.au/def/environment/unit/MilliBecquerelPerLitre | http://registry.it.csiro.au/def/environment/unit/BecquerelPerLitre,http://registry.it.csiro.au/def/environment/property/radon222_concentration
radon 226 concentration,radon-226 concentration,Becquerel Per Litre | Milli Becquerel Per Litre,http://registry.it.csiro.au/def/environment/unit/BecquerelPerLitre | http://registry.it.csiro.au/def/environment/unit/MilliBecquerelPerLitre,http://registry.it.csiro.au/def/environment/property/radon226_concentration
radon concentration,radon concentration,Becquerel Per Litre | Milli Becquerel Per Litre,http://registry.it.csiro.au/def/environment/unit/BecquerelPerLitre | http://registry.it.csiro.au/def/environment/unit/MilliBecquerelPerLitre,http://registry.it.csiro.au/def/environment/property/radon_concentration
rare earth element concentration,rare earth element concentration,,,http://registry.it.csiro.au/def/environment/property/rare_earth_element_concentration
water reduction potential,water reduction potential,Volt | Milli Volt,http://qudt.org/vocab/unit#Volt | http://registry.it.csiro.au/def/environment/unit/MilliVolt,http://registry.it.csiro.au/def/environment/property/reduction_potential_water
rubidium concentration,rubidium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/rubidium_concentration
samarium concentration,samarium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/samarium_concentration
sand fraction,sand fraction,Kilogram Per Cubic Meter | Milligrams Per Litre,http://qudt.org/vocab/unit#KilogramPerCubicMeter | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/sand_fraction
sea surface elevation,sea surface elevation,Meter,http://qudt.org/vocab/unit#Meter,http://registry.it.csiro.au/def/environment/property/sea_surface_elevation
sea water density,sea water density,Kilogram Per Cubic Meter,http://qudt.org/vocab/unit#KilogramPerCubicMeter,http://registry.it.csiro.au/def/environment/property/sea_water_density
sea water potential density,sea water potential density,Kilogram Per Cubic Meter,http://qudt.org/vocab/unit#KilogramPerCubicMeter,http://registry.it.csiro.au/def/environment/property/sea_water_potential_density
sea water temperature,sea water temperature,Degree Celsius,http://qudt.org/vocab/unit#DegreeCelsius,http://registry.it.csiro.au/def/environment/property/sea_water_temperature
eastward sea water current,eastward sea water current,Meter Per Second,http://qudt.org/vocab/unit#MeterPerSecond,http://registry.it.csiro.au/def/environment/property/sea_water_velocity_eastward
northward sea water current,northward sea water current,Meter Per Second,http://qudt.org/vocab/unit#MeterPerSecond,http://registry.it.csiro.au/def/environment/property/sea_water_velocity_northward
upward sea water current,upward sea water current,Meter Per Second,http://qudt.org/vocab/unit#MeterPerSecond,http://registry.it.csiro.au/def/environment/property/sea_water_velocity_upward
sec butylbenzene concentration,sec-butylbenzene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/sec-butylbenzene_concentration
selenium concentration,selenium concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/selenium_concentration
semi volatile organic compound concentration,semi-volatile organic compound concentration,,,http://registry.it.csiro.au/def/environment/property/semi-volatile_organic_compound_concentration
silicate as si concentration,silicate as Si concentration,,,http://registry.it.csiro.au/def/environment/property/silicate_Si_concentration
silicate as sio2 concentration,silicate as SiO2 concentration,,,http://registry.it.csiro.au/def/environment/property/silicate_as_SiO2_concentration
silicon concentration,silicon concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/silicon_concentration
silicon dioxide concentration,silicon dioxide concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/silicon_dioxide_concentration
silt fraction,silt fraction,Milligrams Per Litre | Kilogram Per Cubic Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://qudt.org/vocab/unit#KilogramPerCubicMeter,http://registry.it.csiro.au/def/environment/property/silt_fraction
silver concentration,silver concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/silver_concentration
water sodium adsorption ratio,water sodium adsorption ratio,Unitless,http://qudt.org/vocab/unit#Unitless,http://registry.it.csiro.au/def/environment/property/sodium_adsorption-ratio_water
sodium concentration,sodium concentration,Milligrams Per Kilogram | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerKilogram | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/sodium_concentration
dissolved organic matter,dissolved organic matter,,,http://registry.it.csiro.au/def/environment/property/solids-dissolved_organic
dissolved volatile solids,dissolved volatile solids,,,http://registry.it.csiro.au/def/environment/property/solids-dissolved_volatile
total fixed solids,total fixed solids,,,http://registry.it.csiro.au/def/environment/property/solids-fixed
fixed dissolved solids,fixed dissolved solids,,,http://registry.it.csiro.au/def/environment/property/solids-fixed_dissolved
fixed suspended solids,fixed suspended solids,,,http://registry.it.csiro.au/def/environment/property/solids-fixed_suspended
suspended volatile solids,suspended volatile solids,,,http://registry.it.csiro.au/def/environment/property/solids-suspended_volatile
total solids,total solids,,,http://registry.it.csiro.au/def/environment/property/solids-total
total dissolved solids,total dissolved solids,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/solids-total_dissolved
fine total suspended solids,fine total suspended solids,Milligrams Per Litre | Kilogram Per Cubic Meter,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://qudt.org/vocab/unit#KilogramPerCubicMeter,http://registry.it.csiro.au/def/environment/property/solids-total_fine_suspended
total suspended solids,total suspended solids,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/solids-total_suspended
total volatile solids,total volatile solids,,,http://registry.it.csiro.au/def/environment/property/solids-total_volatile
streptococcus concentration,streptococcus concentration,,,http://registry.it.csiro.au/def/environment/property/streptococcus_concentration
strontium concentration,strontium concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/strontium_concentration
styrene concentration,styrene concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/styrene_concentration
sulfate as s concentration,sulfate as S concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/sulfate_as_S_concentration
sulphate concentration or sulfate concentration,sulphate concentration | sulfate concentration,,,http://registry.it.csiro.au/def/environment/property/sulfate_concentration
sulphide as s concentration or sulfide as s concentration,sulphide as S concentration | sulfide as S concentration,,,http://registry.it.csiro.au/def/environment/property/sulfide_as_S_concentration
sulfide concentration or sulphide concentration,sulfide concentration | sulphide concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/sulfide_concentration
sulfite as s concentration or sulphite as s concentration,sulfite as S concentration | sulphite as S concentration,,,http://registry.it.csiro.au/def/environment/property/sulfite_as_S_concentration
sulfite concentration or sulphite concentration,sulfite concentration | sulphite concentration,,,http://registry.it.csiro.au/def/environment/property/sulfite_concentration
sulphur concentration or sulfur concentration,sulphur concentration | sulfur concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/sulfur_concentration
sulphur dioxide concentration or sulfur dioxide concentration,sulphur dioxide concentration | sulfur dioxide concentration,,,http://registry.it.csiro.au/def/environment/property/sulfur_dioxide_concentration
organic sulphur concentration or organic sulfur concentration,organic sulphur concentration | organic sulfur concentration,,,http://registry.it.csiro.au/def/environment/property/sulfur_organic_concentration
tellurium concentration,tellurium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/tellurium_concentration
terbium concentration,terbium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/terbium_concentration
4 terphenyl d14 concentration,4-terphenyl-d14 concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/terphenyl_4_d14_concentration
tert butylbenzene concentration,tert-butylbenzene concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/tert-butylbenzene_concentration
1 1 1 2 tetrachloroethane concentration,"1,1,1,2-tetrachloroethane concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/tetrachloroethane_1112_concentration
1 1 2 2 tetrachloroethane concentration,"1,1,2,2-tetrachloroethane concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/tetrachloroethane_1122_concentration
tetrachloroethene concentration,tetrachloroethene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/tetrachloroethene_concentration
tetrachloromethane concentration,tetrachloromethane concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/tetrachloromethane_concentration
thallium concentration,thallium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/thallium_concentration
thorium concentration,thorium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/thorium_concentration
thulium concentration,thulium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/thulium_concentration
tin concentration,tin concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/tin_concentration
titanium concentration,titanium concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/titanium_concentration
toluene concentration,toluene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/toluene_concentration
toluene d8 concentration,toluene-d8 concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/toluene_d8_concentration
bacteria total plate count,bacteria total plate count,Colony Forming Unit Per Litre,http://registry.it.csiro.au/def/environment/unit/ColonyFormingUnitPerLitre,http://registry.it.csiro.au/def/environment/property/total_plate_count
total sediment thickness,total sediment thickness,Meter,http://qudt.org/vocab/unit#Meter,http://registry.it.csiro.au/def/environment/property/total_sediment_thickness
trace element observable properties@en,trace element observable properties@en,,,http://registry.it.csiro.au/def/environment/property/trace_element_observables
trans 1 2 dichloroethene concentration,"trans-1,2-dichloroethene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trans-12-dichloroethene_concentration
trans 1 4 dichloro 2 butene concentration,"trans-1,4-dichloro-2-butene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trans-14-dichloro-2-butene_concentration
trans 1 3 dichloropropene concentration,"trans 1,3-dichloropropene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trans_13_dichloropropene_concentration
transition metal concentration,transition metal concentration,,,http://registry.it.csiro.au/def/environment/property/transition_metal_concentration
tribromomethane concentration,tribromomethane concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/tribromomethane_concentration
2 4 6 tribromophenol concentration,"2,4,6-tribromophenol concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/tribromophenol_246_concentration
1 2 3 trichlorobenzene concentration,"1,2,3-trichlorobenzene concentration",Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichlorobenzene-123_concentration
1 2 4 trichlorobenzene concentration,"1,2,4-trichlorobenzene concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichlorobenzene-124_concentration
trichlorobenzene concentration,trichlorobenzene concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichlorobenzene_concentration
1 1 1 trichloroethane concentration,"1,1,1-trichloroethane concentration",Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichloroethane_111_concentration
1 1 2 trichloroethane concentration,"1,1,2-trichloroethane concentration",Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichloroethane_112_concentration
trichloroethene concentration,trichloroethene concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichloroethene_concentration
trichlorofluoromethane concentration,trichlorofluoromethane concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichlorofluoromethane_concentration
2 4 5 trichlorophenol concentration,"2,4,5-trichlorophenol concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichlorophenol_245_concentration
2 4 6 trichlorophenol concentration,"2,4,6-trichlorophenol concentration",Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichlorophenol_246_concentration
1 2 3 trichloropropane concentration,"1,2,3-trichloropropane concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trichloropropane_123_concentration
trihalomethane concentration,trihalomethane concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/trihalomethane_concentration
1 2 4 trimethylbenzene concentration,"1,2,4-trimethylbenzene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trimethylbenzene-124_concentration
1 3 5 trimethylbenzene concentration,"1,3,5-trimethylbenzene concentration",Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/trimethylbenzene-135_concentration
tritium concentration,tritium concentration,,,http://registry.it.csiro.au/def/environment/property/tritium_concentration
water turbidity,water turbidity,Nephelometric Turbidity Unit,http://qudt.org/vocab/unit#NephelometricTurbidityUnit,http://registry.it.csiro.au/def/environment/property/turbidity-water
secchi depth turbidity,Secchi depth - turbidity,Meter,http://qudt.org/vocab/unit#Meter,http://registry.it.csiro.au/def/environment/property/turbidity_Secchi_depth
uranium concentration,uranium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/uranium_concentration
vanadium concentration,vanadium concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/vanadium_concentration
volatile organic compound concentration,volatile organic compound concentration,,,http://registry.it.csiro.au/def/environment/property/volatile_organic_compound_concentration
water density,water density,Kilogram Per Cubic Meter,http://qudt.org/vocab/unit#KilogramPerCubicMeter,http://registry.it.csiro.au/def/environment/property/water_density
water temperature,water temperature,Degree Celsius,http://qudt.org/vocab/unit#DegreeCelsius,http://registry.it.csiro.au/def/environment/property/water_temperature
xylene concentration,xylene concentration,,,http://registry.it.csiro.au/def/environment/property/xylene_concentration
ytterbium concentration,ytterbium concentration,Milligrams Per Litre | Micrograms Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre,http://registry.it.csiro.au/def/environment/property/ytterbium_concentration
yttrium concentration,yttrium concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/yttrium_concentration
zinc concentration,zinc concentration,Micrograms Per Litre | Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MicrogramsPerLitre | http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/zinc_concentration
zirconium concentration,zirconium concentration,Milligrams Per Litre,http://registry.it.csiro.au/def/environment/unit/MilligramsPerLitre,http://registry.it.csiro.au/def/environment/property/zirconium_concentration
barometric pressure,Barometric pressure,,,http://registry.it.csiro.au/def/qudt/1.1/qudt-quantity/_AtmosphericPressure
cloud amount,cloud amount,,,
evaporation,evaporation,,,http://registry.it.csiro.au/sandbox/environment/property/_evaporation
global radiation,global radiation,,,
hours of sunlight,hours of sunlight,,,http://registry.it.csiro.au/def/cwqm/property/_sun_hours
maximum wind gust,maximum wind gust,,,
msl pressure,mean sea level pressure (MSLP),,,
par,photosynthetically active radiation (PAR),,,http://registry.it.csiro.au/sandbox/csiro/test_keyword_sample/_unique_id_photosynthetically_active_radiation
rain accumulation,rain accumulation,,,
rain duration,rain duration,,,
rain intensity,rain intensity,,,
rainfall,rainfall,,,http://registry.it.csiro.au/sandbox/csiro/test_keyword_sample/_unique_id_rainfall
relative humidity,relative humidity,,,
secchi depth   turbidity,Secchi depth - turbidity,Meter,http://qudt.org/vocab/unit#Meter,http://registry.it.csiro.au/def/environment/property/_turbidity_Secchi_depth
snow accumulation,snow accumulation,,,
subsurface temperature,subsurface temperature,,,
tsr,total solar radiation (TSR),,,
wind direction,wind direction,Degree Angle,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/DegreeAngle,http://registry.it.csiro.au/def/environment/property/_wind_direction
wind speed,wind speed,Kilometer per Hour,http://registry.it.csiro.au/def/qudt/1.1/qudt-unit/KilometerPerHour,http://registry.it.csiro.au/def/environment/property/_wind_speed
wind velocity,wind velocity,,,
